date,sentiment_mean,sentiment_std,sentiment_polarity,weighted_sentiment,sentiment_momentum,sentiment_volatility,sentiment_rsi,sentiment_macd,sentiment_rate_of_change,sentiment_acceleration,sentiment_ma_7d,sentiment_ma_14d,sentiment_trend_7d,sentiment_trend_14d,article_count,article_count_ma_7d,relevance_mean,source_count,Technology_sentiment_score,Finance_sentiment_score,Financial Markets_sentiment_score,Earnings_sentiment_score,Economy - Macro_sentiment_score,Manufacturing_sentiment_score
2024-06-10,-0.0254837808219178,0.1441011793544389,neutral,-0.0025575536396592,0.0674626786375416,0.1570696118387099,50.0,0.0461485462244177,-0.7258230063832276,0.100599447956156,-0.0330170116062791,-0.0132107581475948,-0.0502604474885844,0.0299385191780821,73,94.71428571428572,0.1003600547945205,11,0.0,0.0,0.0,0.0,0.0,0.0
2024-06-11,0.0099256136363636,0.1150689842513204,neutral,0.0010869489865113,0.0354093944582814,0.1494844059654648,50.0,0.0269790002891566,-1.3894874824785388,-0.0320532841792602,-0.0283139788010843,-0.011859202411664,0.0329212296363636,0.0189217803030303,88,89.42857142857143,0.1095095,14,0.0,0.0,0.0,0.0,0.0,0.0
2024-06-12,0.0248325897435897,0.1400888126519926,neutral,0.0029749773614017,0.0149069761072261,0.1514386335113693,50.0,-0.0241693478070175,1.501869471587396,-0.0205024183510553,-0.0204576560632161,-0.0094996383090999,0.0549942591650773,0.0330338974358974,78,83.28571428571429,0.1198013333333333,10,0.0,0.0,0.0,0.0,0.0,0.0
2024-06-13,0.0273000151515151,0.1458241411566572,neutral,0.0034244547505732,0.0024674254079254,0.1421537394577725,50.0,-0.0521585016233766,0.099362387628634,-0.0124395506993007,-0.0173530597732132,-0.0075896320633376,0.0217321740300198,0.0267400874406717,66,77.42857142857143,0.1254378333333333,5,0.0,0.0,0.0,0.0,0.0,0.0
2024-06-14,0.0034544374999999,0.1615186529722319,neutral,0.0004405503516894,-0.0238455776515151,0.1413203540773282,50.0,0.0028573087499999,-0.8734638980664347,-0.0263130030594405,-0.0161038963415362,-0.0080387597419091,0.0087441440217391,-0.0062877875,64,73.42857142857143,0.12753171875,7,0.0,0.0,0.0,0.0,0.0,0.0
2024-06-15,0.0485804102564102,0.1216804196073766,neutral,0.0062170667917001,0.0451259727564102,0.1368362021279157,50.0,-0.0400625208333333,13.063189812063548,0.0689715504079254,-0.0006195962847854,-0.006895522645672,0.1083901003972553,0.0160053193473193,39,68.85714285714286,0.1279747692307692,5,0.0,0.0,0.0,0.0,0.0,0.0
2024-06-16,0.0343115178571428,0.1204128951816874,neutral,0.0040831717214365,-0.0142688923992674,0.1379049843139891,50.0,-0.0014113385454545,-0.2937170008230756,-0.0593948651556776,0.0175601147604434,-0.0041384164594475,0.1272579773166023,0.0385994866071428,56,66.28571428571429,0.1190029464285714,8,0.0,0.0,0.0,0.0,0.0,0.0
2024-06-17,-0.0248085079365079,0.1378409500774496,neutral,-0.0026316333608163,-0.0591200257936507,0.1374554117990805,50.0,0.0105498322121852,-1.7230373205813565,-0.0448511333943833,0.0176565823155019,-0.0076802146453885,0.0006752728854098,-0.0495851746031746,63,64.85714285714286,0.1060778571428571,9,0.0,0.0,0.0,0.0,0.0,0.0
2024-06-18,0.0151955211267605,0.1245959078614724,neutral,0.00178058505502,0.0400040290632685,0.1332097651400436,50.0,0.0183941870475187,-1.612512496344006,0.0991240548569192,0.0184094262427015,-0.0049522762791913,0.0052699074903969,0.0381911371267605,71,62.42857142857143,0.1171782816901408,8,0.0,0.0,0.0,0.0,0.0,0.0
2024-06-19,0.0318873333333333,0.1135706652057512,neutral,0.0031911913152777,0.0166918122065727,0.1236201675867474,50.0,0.0160000902426693,1.098469217826108,-0.0233122168566957,0.019417246755522,-0.000520204653847,0.0070547435897435,0.0620490027548209,60,59.857142857142854,0.1000770833333333,6,0.0,0.0,0.0,0.0,0.0,0.0
2024-06-20,0.011746037037037,0.1412637936036198,neutral,0.0013667202903406,-0.0201412962962963,0.1275368423859961,50.0,0.1036427118799755,-0.6316394063357331,-0.036833108502869,0.0171952498820251,-7.890494559406132e-05,-0.0155539781144781,0.0061781959155417,81,62.0,0.1163558641975308,8,0.0,0.0,0.0,0.0,0.0,0.0
2024-06-21,-0.0090544479166666,0.1507155617263941,neutral,-0.0010236793759543,-0.0208004849537037,0.1335973756949375,50.0,0.0731010469594594,-1.7708512997291443,-0.0006591886574073,0.0154082662510727,-0.0003478150452317,-0.0125088854166666,-0.0037647413949275,96,66.57142857142857,0.1130581770833333,12,0.0,0.0,0.0,0.0,0.0,0.0
2024-06-22,-0.0288987021276595,0.1584284407306469,neutral,-0.0038044938445282,-0.0198442542109929,0.1377148738255769,50.0,-0.0299385191780821,2.191658110315624,0.0009562307427107,0.004339821624777,0.0018601126699957,-0.0774791123840698,0.0309109880131855,47,67.71428571428571,0.1316492978723404,9,0.0,0.0,0.0,0.0,0.0,0.0
2024-06-23,0.0005417142857142,0.114970679911409,neutral,5.6134988081632696e-05,0.0294404164133738,0.1357898282355642,50.0,-0.0189217803030303,-1.0187452807853197,0.0492846706243667,-0.0004844360282841,0.0085378393660796,-0.0337698035714285,0.0934881737451737,49,66.71428571428571,0.1036247142857142,7,0.0,0.0,0.0,0.0,0.0,0.0
2024-06-24,-0.0289012419354838,0.1096465421904291,neutral,-0.0033884659774966,-0.0294429562211981,0.1350050036324998,50.0,-0.0330338974358974,-54.351448720566175,-0.058883372634572,-0.0010691123138521,0.0082937350008249,-0.0040927339989759,-0.003417461113566,62,66.57142857142857,0.1172429193548387,8,0.0,0.0,0.0,0.0,0.0,0.0
